client_id,company_name,industry_l1,industry_l2,region,scale,credit_line_wan,balance_wan,interest_rate,term_months,product,first_draw_date,last_review_date
AP079,舟岳电路（广州市）股份有限公司,制造业,电子元件,广东省广州市白云,中型,1100,690,6.20,12,供应链金融,2023-06-02,2025-04-21
AP080,皓月办公用品（石家庄市）有限公司,零售,专业零售,河北省石家庄市正定,中型,1500,690,5.23,24,银行承兑汇票,2025-08-08,2025-07-09
AP081,梓瀚微创器械（合肥市）有限公司,制造业,医疗器械,安徽省合肥市包河,小型,550,360,6.77,6,小微快贷,2025-08-06,2025-08-12
AP082,耀骏零售连锁（大连市）股份有限公司,零售,连锁零售,辽宁省大连市瓦房店,大型,8800,5740,4.01,12,银行承兑汇票,2024-01-12,2025-12-14
AP083,嵩恒钢贸（烟台市）有限公司,贸易,大宗商品贸易,山东省烟台市莱山,中型,2600,2530,5.41,24,应收账款保理,2023-09-01,2026-02-20
AP084,翔晟连锁（合肥市）股份有限公司,零售,连锁零售,安徽省合肥市高新区,中型,950,440,4.41,24,银行承兑汇票,2024-02-24,2025-05-04
AP085,锐迅智能（深圳市）股份有限公司,制造业,电子元件,广东省深圳市光明,小型,50,30,7.47,12,小微快贷,2024-03-12,2026-03-02
AP086,瑄衍财税咨询（佛山市）有限公司,服务,企业服务,广东省佛山市顺德,中型,4600,4160,4.37,12,银行承兑汇票,2025-09-26,2026-02-21
AP087,启航生鲜（无锡市）集团有限公司,零售,生鲜零售,江苏省无锡市锡山,小型,430,245,6.28,24,小微快贷,2025-08-10,2025-05-28
AP088,润竹食品加工（常州市）有限公司,农业,农产品加工,江苏省常州市金坛,中型,750,490,4.45,24,专精特新贷,2024-05-21,2026-03-08
AP089,诚瑞医疗器械（沈阳市）股份有限公司,制造业,医疗器械,辽宁省沈阳市于洪,小型,650,290,7.01,12,流动资金贷款,2025-07-23,2025-11-08
AP090,耀骏人力资源（广州市）股份有限公司,服务,企业服务,广东省广州市番禺,中型,1400,1170,4.31,12,供应链金融,2025-08-20,2025-05-07
AP091,海通家居（惠州市）集团有限公司,制造业,家电家居,广东省惠州市惠阳,中型,2050,870,5.85,24,银行承兑汇票,2025-08-16,2025-08-19
AP092,兴旺物流运输（青岛市）有限公司,物流,公路运输,山东省青岛市胶州,小型,420,340,5.51,24,供应链金融,2025-05-15,2025-05-16
AP093,延予传动件（石家庄市）集团有限公司,制造业,汽车零部件,河北省石家庄市正定,小型,600,400,5.69,24,流动资金贷款,2023-10-05,2026-03-19
AP094,翊轩跨境电商（青岛市）有限公司,贸易,跨境电商,山东省青岛市即墨,中型,800,490,5.05,12,应收账款保理,2023-05-17,2025-10-09
AP095,邦彦金属（天津市）有限公司,制造业,金属加工,天津市天津市武清,大型,5550,2730,3.64,24,银行承兑汇票,2023-08-22,2025-05-13
AP096,舟岳精塑（烟台市）股份有限公司,制造业,模具注塑,山东省烟台市福山,大型,18400,5150,4.12,24,流动资金贷款,2025-02-23,2025-11-08
AP097,悦枫底盘（佛山市）有限公司,制造业,汽车零部件,广东省佛山市顺德,大型,6300,4610,5.18,12,流动资金贷款,2024-12-05,2026-03-20
AP098,安辰智联（南京市）集团有限公司,科技,物联网,江苏省南京市江宁,中型,3600,1820,5.83,6,流动资金贷款,2025-06-10,2025-05-12
AP099,启桁厨电（常州市）有限公司,制造业,家电家居,江苏省常州市金坛,大型,7600,4420,4.42,24,专精特新贷,2024-07-01,2025-07-14
AP100,明岚高分子（惠州市）有限公司,制造业,化工材料,广东省惠州市博罗,中型,4050,3200,5.18,12,供应链金融,2024-10-17,2025-05-09
AP101,卓岭装饰材料（沈阳市）有限公司,建筑,建材供应,辽宁省沈阳市铁西,中型,700,430,5.39,24,银行承兑汇票,2025-08-15,2025-08-09
AP102,崇德酒店管理（北京市）有限公司,服务,商旅酒店,北京市北京市通州,中型,4250,2020,6.28,24,供应链金融,2024-09-21,2025-10-14
AP103,耘骧塑胶（无锡市）集团有限公司,制造业,模具注塑,江苏省无锡市宜兴,小型,550,320,5.59,12,流动资金贷款,2025-09-17,2025-11-15
AP104,弈泰金属（温州市）股份有限公司,制造业,金属加工,浙江省温州市瑞安,中型,3450,2640,5.95,12,专精特新贷,2024-06-21,2025-06-14
AP105,弈泰物流运输（中山市）股份有限公司,物流,公路运输,广东省中山市古镇,中型,2850,1300,4.54,36,供应链金融,2024-09-24,2025-08-20
AP106,悦枫数字科技（佛山市）有限公司,科技,SaaS云服务,广东省佛山市三水,中型,2850,1170,5.01,12,专精特新贷,2025-06-24,2026-01-04
AP107,颂安底盘（大连市）股份有限公司,制造业,汽车零部件,辽宁省大连市金州,小型,210,190,6.47,6,流动资金贷款,2025-07-19,2026-03-18
AP108,鸿新底盘（杭州市）股份有限公司,制造业,汽车零部件,浙江省杭州市余杭,中型,1200,890,4.60,12,银行承兑汇票,2023-06-22,2026-01-14
AP109,钰泽云服务（唐山市）股份有限公司,科技,SaaS云服务,河北省唐山市丰润,中型,4600,2120,5.03,24,专精特新贷,2025-05-24,2026-02-27
AP110,昊瞻精工（唐山市）股份有限公司,制造业,精密机械,河北省唐山市玉田,小型,430,175,5.82,12,流动资金贷款,2025-04-21,2025-10-27
AP111,融创微创器械（温州市）有限公司,制造业,医疗器械,浙江省温州市永嘉,中型,3800,2790,5.90,12,流动资金贷款,2025-05-09,2025-04-02
AP112,圣诺机电合作联社（惠州市）,制造业,精密机械,广东省惠州市惠阳,小型,360,185,7.38,12,小微快贷,2024-12-13,2025-07-13
AP113,禾元微创器械（南通市）股份有限公司,制造业,医疗器械,江苏省南通市启东,大型,11900,4230,4.72,12,银行承兑汇票,2023-06-10,2025-09-21
AP114,泓盈精密机械（杭州市）有限公司,制造业,精密机械,浙江省杭州市余杭,大型,12900,7230,4.81,24,流动资金贷款,2025-02-25,2025-09-23
AP115,霁清能源贸易合作联社（珠海市）,贸易,大宗商品贸易,广东省珠海市金湾,中型,4300,2590,5.91,6,国内信用证,2023-06-02,2025-07-17
AP116,兴旺进出口合作联社（深圳市）,贸易,跨境电商,广东省深圳市光明,大型,19250,16030,4.38,36,供应链金融,2024-08-08,2025-07-13
AP117,梓瀚餐饮连锁（惠州市）有限公司,服务,餐饮连锁,广东省惠州市博罗,中型,1550,1070,4.65,24,专精特新贷,2024-11-02,2025-09-13
AP118,煜晟新材料合作联社（中山市）,制造业,化工材料,广东省中山市火炬,中型,2400,1360,4.78,36,专精特新贷,2024-09-04,2025-11-05
AP119,朝煦化工（佛山市）股份有限公司,制造业,化工材料,广东省佛山市南海,中型,2900,1080,4.92,24,供应链金融,2025-10-19,2026-02-14
AP120,森岩企业服务（北京市）股份有限公司,服务,企业服务,北京市北京市通州,小型,230,60,5.57,60,经营性物业贷款,2025-08-22,2025-05-01
AP121,祥泓注塑（大连市）股份有限公司,制造业,模具注塑,辽宁省大连市旅顺,小型,490,240,5.95,6,小微快贷,2025-08-19,2025-07-09
AP122,钰泽能源贸易（大连市）股份有限公司,贸易,大宗商品贸易,辽宁省大连市瓦房店,小型,240,95,5.93,12,应收账款保理,2025-05-26,2025-07-13
AP123,骏迈中央厨房（南京市）集团有限公司,服务,餐饮连锁,江苏省南京市江宁,小型,330,155,6.74,6,流动资金贷款,2025-06-28,2026-02-24
AP124,昊瞻汽车零部件（深圳市）股份有限公司,制造业,汽车零部件,广东省深圳市宝安,中型,3000,2570,4.79,12,银行承兑汇票,2025-08-24,2025-10-02
AP125,钰泽智能合作联社（潍坊市）,制造业,电子元件,山东省潍坊市昌邑,中型,2900,2250,6.21,12,银行承兑汇票,2024-06-23,2025-10-19
AP126,燊翊专业零售（广州市）股份有限公司,零售,专业零售,广东省广州市黄埔,小型,600,270,7.47,60,经营性物业贷款,2023-08-03,2025-11-14
AP127,朝煦五金（东莞市）有限公司,制造业,金属加工,广东省东莞市塘厦,中型,1050,710,4.91,24,专精特新贷,2024-11-19,2025-04-02
AP128,瑾辉能源贸易（珠海市）有限公司,贸易,大宗商品贸易,广东省珠海市斗门,中型,1500,1110,6.20,24,供应链金融,2023-11-10,2025-12-20
AP129,正合财税咨询（嘉兴市）有限公司,服务,企业服务,浙江省嘉兴市桐乡,中型,2300,890,5.94,6,银行承兑汇票,2024-06-10,2026-03-03
AP130,弈泰生鲜（唐山市）集团有限公司,零售,生鲜零售,河北省唐山市玉田,中型,1200,550,5.78,24,专精特新贷,2025-07-08,2026-01-15
AP131,正合微电子（宁波市）集团有限公司,制造业,电子元件,浙江省宁波市北仑,小型,550,310,7.29,6,小微快贷,2024-04-16,2025-09-19
AP132,润竹服饰（佛山市）股份有限公司,制造业,纺织服装,广东省佛山市南海,小型,550,200,5.69,36,经营性物业贷款,2024-02-11,2025-09-26
AP133,璞遥铝材（中山市）有限公司,制造业,金属加工,广东省中山市小榄,中型,3250,3060,4.49,6,银行承兑汇票,2023-05-14,2025-04-01
AP134,隽熠装饰材料（大连市）有限公司,建筑,建材供应,辽宁省大连市金州,中型,3000,1370,4.51,36,经营性物业贷款,2024-06-14,2026-01-23
AP135,霁清中央厨房（长沙市）集团有限公司,服务,餐饮连锁,湖南省长沙市宁乡,小型,550,300,7.34,12,流动资金贷款,2024-07-08,2025-04-17
AP136,凌霄微电子（佛山市）集团有限公司,制造业,电子元件,广东省佛山市顺德,中型,4950,3410,5.52,12,专精特新贷,2023-12-16,2025-05-21
AP137,启航农产品（温州市）有限公司,农业,农产品加工,浙江省温州市乐清,大型,11050,4160,4.42,24,专精特新贷,2023-06-22,2025-12-23
AP138,祥泓进出口合作联社（常州市）,贸易,跨境电商,江苏省常州市新北,小型,650,590,6.23,24,国内信用证,2023-09-18,2025-05-03
AP139,瑄衍分销（杭州市）有限公司,物流,供应链管理,浙江省杭州市萧山,小型,360,245,6.99,12,流动资金贷款,2025-04-05,2025-04-19
AP140,旻辰铜铝贸易（武汉市）股份有限公司,贸易,大宗商品贸易,湖北省武汉市蔡甸,中型,1500,560,5.98,24,应收账款保理,2024-12-15,2025-09-27
AP141,鼎越能源贸易（珠海市）股份有限公司,贸易,大宗商品贸易,广东省珠海市金湾,中型,1200,670,4.60,24,供应链金融,2025-05-09,2025-04-03
AP142,崇德高分子（合肥市）有限公司,制造业,化工材料,安徽省合肥市高新区,中型,1250,650,5.18,12,银行承兑汇票,2024-08-08,2026-02-06
AP143,寰宇注塑（青岛市）有限公司,制造业,模具注塑,山东省青岛市即墨,中型,4350,3360,4.75,12,流动资金贷款,2025-02-05,2025-05-02
AP144,景辉精塑（嘉兴市）集团有限公司,制造业,模具注塑,浙江省嘉兴市海宁,中型,4800,3190,5.56,36,供应链金融,2025-03-19,2025-04-10
AP145,橘社商贸合作联社（惠州市）,贸易,消费品贸易,广东省惠州市惠阳,大型,14250,6470,3.60,12,流动资金贷款,2024-01-14,2026-01-18
AP146,祥泓百货贸易（南通市）有限公司,贸易,消费品贸易,江苏省南通市如皋,中型,4400,2510,4.72,12,流动资金贷款,2025-06-25,2025-05-09
AP147,兴旺信息技术合作联社（嘉兴市）,科技,软件信息,浙江省嘉兴市桐乡,小型,500,220,6.83,36,科技贷,2024-11-24,2025-12-10
AP148,耀骏电路（天津市）有限公司,制造业,电子元件,天津市天津市滨海新区,中型,3400,2080,6.18,12,供应链金融,2025-03-02,2025-06-05
AP149,瑄衍汽车零部件（宁波市）有限公司,制造业,汽车零部件,浙江省宁波市慈溪,中型,2050,930,5.67,24,流动资金贷款,2023-06-22,2025-11-04
AP150,兴旺供应链（大连市）有限公司,物流,供应链管理,辽宁省大连市旅顺,大型,11300,10290,5.07,36,供应链金融,2024-07-21,2025-06-25
AP151,钰泽工程（潍坊市）有限公司,建筑,专业工程,山东省潍坊市昌邑,中型,3250,1600,6.15,12,银行承兑汇票,2025-02-19,2026-02-19
AP152,熹诚智能（青岛市）股份有限公司,制造业,电子元件,山东省青岛市胶州,小型,300,160,6.89,12,小微快贷,2025-02-08,2025-10-27
AP153,兴旺模具（珠海市）有限公司,制造业,模具注塑,广东省珠海市斗门,大型,5550,2180,4.62,12,流动资金贷款,2024-02-25,2025-11-12
AP154,鼎越物流供应链（佛山市）有限公司,物流,供应链管理,广东省佛山市三水,大型,18800,15990,4.50,12,供应链金融,2023-08-27,2025-12-16
AP155,恒茂针织合作联社（广州市）,制造业,纺织服装,广东省广州市白云,小型,550,490,6.85,60,经营性物业贷款,2025-07-25,2025-06-07
AP156,瑞尧工程（大连市）有限公司,建筑,专业工程,辽宁省大连市金州,小型,330,120,5.82,6,流动资金贷款,2024-02-02,2025-08-27
AP157,嵩恒塑胶（嘉兴市）有限公司,制造业,模具注塑,浙江省嘉兴市海宁,小型,700,480,7.23,60,经营性物业贷款,2025-05-16,2025-11-05
AP158,弈泰连锁（苏州市）有限公司,零售,连锁零售,江苏省苏州市吴江,中型,2550,1530,5.94,24,专精特新贷,2025-09-09,2025-08-25
AP159,启桁生鲜（长沙市）有限公司,零售,生鲜零售,湖南省长沙市浏阳,中型,4200,1280,4.92,6,银行承兑汇票,2023-12-04,2025-06-14
AP160,润竹云服务合作联社（苏州市）,科技,SaaS云服务,江苏省苏州市常熟,小型,80,30,7.31,24,科技贷,2024-09-16,2025-04-20
AP161,禾元物流供应链（佛山市）有限公司,物流,供应链管理,广东省佛山市南海,中型,4750,4450,6.12,12,供应链金融,2024-02-04,2025-10-14
AP162,雅岚煤炭贸易（烟台市）有限公司,贸易,大宗商品贸易,山东省烟台市牟平,大型,19500,14590,4.28,12,流动资金贷款,2024-03-03,2026-01-03
AP163,舟岳市政工程（重庆市）有限公司,建筑,专业工程,重庆市重庆市北碚,小型,90,60,6.31,12,流动资金贷款,2024-10-03,2026-01-26
AP164,瑞尧文旅（中山市）集团有限公司,服务,商旅酒店,广东省中山市古镇,小型,550,460,5.44,12,小微快贷,2024-04-28,2026-02-19
AP165,熹诚商贸（石家庄市）股份有限公司,贸易,消费品贸易,河北省石家庄市高邑,小型,390,250,6.63,24,流动资金贷款,2023-09-05,2025-06-03
AP166,熹诚物联网（常州市）股份有限公司,科技,物联网,江苏省常州市金坛,小型,160,75,5.35,36,专精特新贷,2025-10-21,2026-03-19
AP167,聆风供应链（长沙市）股份有限公司,物流,供应链管理,湖南省长沙市宁乡,小型,600,290,5.79,36,供应链金融,2024-04-14,2025-08-01
AP168,文栋智能合作联社（沈阳市）,制造业,电子元件,辽宁省沈阳市于洪,小型,650,480,6.45,36,经营性物业贷款,2023-08-16,2025-06-01
AP169,卓岭化工（深圳市）有限公司,制造业,化工材料,广东省深圳市光明,小型,200,150,6.41,60,经营性物业贷款,2025-07-18,2025-11-03
AP170,聆风精铸（深圳市）集团有限公司,制造业,金属加工,广东省深圳市光明,小型,70,45,6.89,12,小微快贷,2024-03-22,2026-02-14
AP171,颂安服饰合作联社（杭州市）,制造业,纺织服装,浙江省杭州市钱塘,中型,1500,880,5.52,36,供应链金融,2024-10-19,2026-01-17
AP172,雅宁厨电（中山市）有限公司,制造业,家电家居,广东省中山市古镇,中型,2750,990,4.74,12,流动资金贷款,2025-03-17,2026-01-05
AP173,致远自动化（潍坊市）有限公司,制造业,精密机械,山东省潍坊市昌邑,小型,700,660,6.35,60,经营性物业贷款,2023-06-21,2025-07-21
AP174,谦益医疗器械（佛山市）股份有限公司,制造业,医疗器械,广东省佛山市顺德,中型,4650,3150,5.99,12,银行承兑汇票,2023-04-18,2025-12-21
AP175,雅岚建材（无锡市）有限公司,建筑,建材供应,江苏省无锡市江阴,小型,40,20,6.05,12,流动资金贷款,2024-12-02,2025-09-21
