loan_id,applicant_age,marriage,education,job_tenure_months,monthly_income_cny,company_age_years,industry_l1,scale,region,current_ratio,debt_ratio,roe,revenue_yoy,net_margin,loan_amount_wan,term_months,rate_pct,collateral_type,purpose,credit_score,past_overdue_count_1y,current_overdue_count,guarantee_times_1y,query_times_3m,bank_balance_stddev_3m,large_debit_count_1m,cross_province_count_1m,days_past_due
L000011,43,已婚,大专,54,18438,3.2,建筑业,小型,东北,0.55,0.92,-2.26,-20.83,1.12,574.10,12,10.89,信用,应收账款融资,514,1,2,5,7,0.41,13,5,65
L000012,35,未婚,本科,117,33464,26.3,采矿业,中型,华北,3.35,0.28,10.76,25.00,11.01,883.36,9,6.63,保证,应收账款融资,841,0,0,0,0,0.10,0,1,0
L000013,34,离异,大专,29,7255,6.2,批发零售,中型,华东,1.03,0.75,-2.17,-16.01,4.72,559.40,36,17.02,抵押,经营周转,600,6,0,4,18,0.32,11,5,107
L000014,58,已婚,高中及以下,143,39396,,,,华北,,,,,,163.24,18,4.96,抵押,经营周转,788,0,0,1,3,0.14,0,1,0
L000015,30,已婚,本科,0,9350,12.5,房地产,小型,华北,1.09,0.71,7.28,-1.94,4.42,691.85,18,9.95,抵押,应收账款融资,715,1,0,3,7,0.25,5,4,11
L000016,37,丧偶,大专,117,63331,,,,华北,,,,,,178.37,30,5.48,抵押,消费,760,0,0,0,6,0.08,0,0,0
L000017,25,未婚,本科,79,11166,,,,华北,,,,,,174.29,30,14.90,信用,流动资金,599,4,0,2,17,0.68,12,9,66
L000018,37,已婚,高中及以下,78,28572,9.9,信息技术,小型,华南,1.96,0.44,20.01,6.61,14.93,1130.96,18,6.83,保证,经营周转,821,0,0,0,6,0.15,3,2,0
L000019,56,未婚,大专,31,23798,,,,华北,,,,,,15.51,30,6.40,信用,装修,847,0,0,0,2,0.09,3,1,5
L000020,25,已婚,高中及以下,38,40738,26.4,批发零售,大型,华南,2.34,0.49,16.00,23.73,8.89,1908.65,3,6.62,保证,流动资金,844,0,0,0,5,0.11,3,0,0
L000021,38,未婚,高中及以下,0,16246,29.0,制造业,小型,西南,2.12,0.44,24.29,14.92,20.16,244.39,18,3.91,信用,应收账款融资,739,0,0,1,5,0.07,1,1,0
L000022,48,离异,高中及以下,8,77176,,,,华中,,,,,,167.45,30,4.20,保证,经营周转,900,0,0,1,5,0.11,2,0,0
L000023,39,离异,高中及以下,0,9753,,,,华东,,,,,,257.52,6,12.84,抵押,经营周转,559,4,2,5,9,0.43,7,3,75
L000024,52,未婚,大专,75,16583,,,,华东,,,,,,78.15,24,15.31,保证,经营周转,566,2,0,2,16,0.46,12,5,78
L000025,29,未婚,硕士,48,61179,17.9,交通运输,小型,华南,3.46,0.49,13.04,14.02,13.14,1445.24,3,7.40,保证,应收账款融资,816,0,0,1,1,0.07,1,1,0
L000026,38,离异,大专,29,25552,,,,华南,,,,,,36.11,12,6.91,信用,经营周转,613,0,0,3,9,0.26,3,0,8
L000027,41,离异,博士,36,51893,,,,西南,,,,,,190.04,6,4.56,抵押,装修,855,0,0,0,6,0.13,3,1,0
L000028,40,未婚,大专,125,57491,23.7,住宿餐饮,中型,西北,3.37,0.35,17.26,21.19,23.44,1670.60,6,6.67,保证,经营周转,815,0,0,1,2,0.05,2,2,0
L000029,60,已婚,大专,43,14575,25.2,信息技术,大型,西北,3.50,0.44,12.58,6.01,20.86,993.95,24,4.23,保证,应收账款融资,777,0,0,1,4,0.13,3,0,0
L000030,40,未婚,大专,94,12125,3.1,批发零售,小型,华东,0.69,1.41,-8.75,-79.91,-3.92,800.57,9,22.72,保证,技术改造,454,8,2,3,15,0.73,30,20,207
L000031,32,已婚,高中及以下,30,68581,28.4,住宿餐饮,小型,华东,3.37,0.30,19.99,15.39,16.20,997.22,18,5.03,信用,经营周转,773,0,0,1,0,0.05,1,2,0
L000032,40,未婚,本科,79,49754,26.0,建筑业,小型,华中,2.16,0.47,14.41,28.32,22.78,1963.47,12,4.43,信用,流动资金,897,0,0,1,2,0.19,2,0,0
L000033,59,已婚,高中及以下,72,73551,,,,华东,,,,,,37.39,36,3.80,信用,经营周转,797,0,0,0,3,0.19,1,2,0
L000034,24,未婚,高中及以下,41,22109,,,,华南,,,,,,79.83,3,10.56,信用,消费,709,1,1,2,12,0.33,8,4,23
L000035,55,已婚,本科,73,51883,20.7,建筑业,小型,华南,1.96,0.42,15.81,21.67,23.28,983.98,6,3.80,信用,经营周转,783,0,0,1,2,0.11,1,0,0
L000036,44,未婚,博士,88,6542,,,,西北,,,,,,202.60,3,26.75,信用,经营周转,466,7,1,8,25,0.57,20,23,210
L000037,50,已婚,大专,134,13167,6.4,居民服务,中型,华南,1.19,0.62,3.27,-5.89,9.14,946.98,48,10.48,抵押,流动资金,681,0,0,1,12,0.17,1,2,3
L000038,47,已婚,大专,140,40744,,,,华中,,,,,,137.74,24,3.93,抵押,消费,873,0,0,1,6,0.17,2,0,0
L000039,63,已婚,高中及以下,100,11628,26.7,制造业,小型,华东,0.89,0.91,3.92,-15.33,1.13,196.80,12,16.67,保证,原材料采购,578,2,2,1,15,0.63,15,6,12
L000040,47,已婚,硕士,45,76328,3.2,制造业,中型,东北,3.44,0.22,13.67,29.72,21.38,489.89,60,4.33,抵押,设备购置,760,0,0,0,5,0.11,2,0,0
L000041,64,离异,高中及以下,4,50397,,,,华东,,,,,,60.42,12,5.60,信用,流动资金,700,0,0,0,1,0.13,1,0,0
L000042,63,离异,高中及以下,128,42486,,,,华南,,,,,,140.36,30,3.79,抵押,装修,815,0,0,0,5,0.17,2,1,0
L000043,60,已婚,本科,114,71194,,,,华北,,,,,,174.44,18,5.16,信用,流动资金,840,0,0,1,4,0.13,3,2,0
L000044,27,已婚,高中及以下,108,61193,16.9,信息技术,小型,西南,2.16,0.24,14.01,21.63,20.75,1749.38,24,5.90,保证,经营周转,870,0,0,0,5,0.19,0,0,0
L000045,57,丧偶,本科,5,9890,25.0,批发零售,小型,西北,2.91,0.31,13.78,5.15,22.79,1176.01,18,6.46,信用,流动资金,727,0,0,1,0,0.16,1,1,0
L000046,31,已婚,大专,13,56525,20.0,建筑业,小型,华南,2.05,0.46,9.93,15.75,12.82,1389.12,24,3.68,保证,经营周转,787,0,0,1,5,0.10,0,0,0
L000047,49,已婚,大专,43,68001,,,,西南,,,,,,23.69,36,5.24,保证,消费,896,0,0,1,2,0.10,0,1,0
L000048,61,已婚,本科,3,34053,,,,华北,,,,,,30.11,30,5.60,保证,经营周转,881,0,0,1,0,0.11,2,0,0
L000049,63,离异,高中及以下,80,51372,,,,西南,,,,,,134.55,12,5.36,保证,流动资金,719,0,0,0,4,0.13,2,1,0
L000050,62,已婚,高中及以下,86,4426,,,,华北,,,,,,103.47,12,12.95,抵押,消费,579,3,2,3,7,0.48,11,9,63
L000051,60,已婚,高中及以下,81,72737,,,,华南,,,,,,145.72,18,3.66,信用,流动资金,889,0,0,1,6,0.14,1,1,0
L000052,63,已婚,高中及以下,68,18949,7.9,房地产,大型,华南,1.34,0.50,0.98,6.59,9.17,344.72,30,6.77,信用,流动资金,717,1,1,3,7,0.32,1,5,13
L000053,33,离异,高中及以下,63,29999,9.2,居民服务,小型,华东,1.30,0.69,6.32,6.55,8.76,637.13,18,6.97,信用,经营周转,616,2,0,3,10,0.24,6,2,6
L000054,56,已婚,硕士,27,24609,6.2,租赁商服,小型,东北,1.24,0.70,9.34,2.57,4.19,203.96,6,11.24,抵押,技术改造,646,2,0,3,11,0.22,8,1,18
L000055,31,离异,高中及以下,137,18096,,,,西北,,,,,,133.25,24,11.89,信用,经营周转,566,1,1,1,17,0.36,11,10,51
L000056,52,已婚,高中及以下,10,4807,,,,华南,,,,,,252.96,36,14.22,抵押,经营周转,583,3,0,2,5,0.41,11,4,38
L000057,54,未婚,本科,59,33402,6.0,租赁商服,小型,华北,2.22,0.53,17.25,24.66,16.63,138.64,36,6.04,信用,原材料采购,859,0,0,0,6,0.19,0,2,0
L000058,24,已婚,高中及以下,62,54281,20.7,采矿业,小型,东北,1.86,0.25,20.17,28.59,8.63,483.02,12,4.76,抵押,技术改造,761,0,0,0,6,0.14,2,0,5
L000059,29,未婚,大专,16,76866,6.0,租赁商服,小型,华南,3.09,0.29,9.40,15.61,15.32,1990.69,9,4.78,抵押,应收账款融资,865,0,0,1,6,0.17,2,1,0
L000060,49,已婚,硕士,91,76249,,,,华东,,,,,,131.13,18,7.31,抵押,流动资金,742,0,0,1,3,0.06,2,2,0
L000061,45,已婚,高中及以下,91,30635,,,,华南,,,,,,192.50,6,5.50,保证,消费,793,0,0,0,4,0.07,3,1,0
L000062,33,离异,大专,96,14320,25.4,批发零售,小型,华中,1.63,0.39,23.15,26.28,20.10,1861.92,24,5.54,抵押,设备购置,856,0,0,1,1,0.07,0,1,0
L000063,27,已婚,大专,48,37577,17.5,制造业,小型,华南,1.65,0.36,16.80,8.21,22.09,1147.48,18,5.23,信用,流动资金,792,0,0,1,3,0.17,1,2,0
L000064,38,已婚,硕士,4,27760,18.6,制造业,中型,华中,2.68,0.40,10.91,20.61,23.33,741.48,36,6.80,抵押,流动资金,741,0,0,0,2,0.19,2,0,0
L000065,41,已婚,本科,43,6824,13.5,建筑业,小型,华东,1.34,0.55,8.62,8.35,8.61,976.61,9,9.09,抵押,设备购置,626,2,1,0,9,0.37,5,5,9
L000066,42,离异,本科,21,21668,29.9,建筑业,中型,华东,2.49,0.23,14.69,16.43,12.09,1208.35,9,5.48,信用,应收账款融资,712,0,0,1,6,0.14,1,0,0
L000067,24,已婚,大专,81,13294,23.0,批发零售,大型,华北,2.86,0.24,24.58,14.85,21.51,744.26,36,4.30,保证,经营周转,727,0,0,1,5,0.10,3,1,0
L000068,61,已婚,大专,119,52388,,,,东北,,,,,,122.81,36,5.63,信用,经营周转,821,0,0,0,4,0.18,1,1,0
L000069,25,未婚,高中及以下,12,68564,20.6,制造业,大型,华东,1.72,0.21,13.33,8.79,19.74,879.72,30,6.99,信用,流动资金,728,1,0,0,4,0.12,1,2,0
L000070,43,未婚,本科,9,70471,,,,华中,,,,,,162.69,12,4.27,抵押,经营周转,869,0,0,1,2,0.19,3,2,0
L000071,40,已婚,本科,0,12820,24.2,批发零售,小型,西北,0.66,1.08,-27.88,-59.48,-15.63,462.69,36,23.75,抵押,经营周转,423,6,3,9,20,0.84,25,13,211
L000072,52,已婚,本科,156,8373,,,,华北,,,,,,186.53,30,5.41,抵押,经营周转,835,0,0,0,0,0.07,2,2,0
L000073,47,未婚,高中及以下,59,12236,,,,华东,,,,,,100.04,24,7.71,信用,流动资金,611,2,0,0,4,0.25,3,0,5
L000074,22,未婚,本科,0,12868,5.7,房地产,中型,西南,0.96,0.83,-13.27,-6.58,-7.23,183.58,18,10.05,保证,技术改造,524,1,1,2,16,0.48,8,4,52
L000075,41,已婚,本科,152,63428,,,,华中,,,,,,131.36,48,5.96,抵押,装修,702,0,0,1,5,0.09,0,1,0
L000076,65,未婚,本科,11,13894,,,,华北,,,,,,143.72,3,3.75,保证,装修,795,0,0,1,6,0.13,1,0,0
L000077,50,离异,大专,4,12157,24.3,交通运输,小型,华北,3.13,0.46,17.83,6.13,13.86,221.14,36,7.44,保证,原材料采购,833,0,0,0,5,0.14,0,2,0
L000078,27,未婚,本科,55,18482,,,,华中,,,,,,114.11,12,9.17,信用,装修,693,2,1,2,8,0.26,7,3,25
L000079,51,已婚,高中及以下,134,16124,12.9,交通运输,中型,西南,1.53,0.27,9.72,5.84,18.16,1436.24,3,5.11,抵押,设备购置,872,0,0,1,4,0.11,1,0,0
L000080,55,已婚,高中及以下,29,6523,26.5,金融业,中型,西北,1.23,0.61,11.67,13.54,6.71,796.51,30,8.45,抵押,设备购置,637,0,0,2,5,0.23,3,5,16
L000081,55,已婚,高中及以下,80,74400,3.2,交通运输,小型,东北,2.04,0.44,18.25,26.84,11.20,1547.22,36,4.37,抵押,原材料采购,881,0,0,1,0,0.13,3,2,0
L000082,35,已婚,高中及以下,129,8806,14.3,住宿餐饮,小型,华南,0.73,0.96,-5.68,-1.90,0.84,773.55,18,12.97,保证,经营周转,524,6,0,6,17,0.49,7,11,78
L000083,46,未婚,高中及以下,0,32304,14.9,交通运输,中型,西南,2.42,0.46,13.99,8.50,17.29,449.69,60,7.33,保证,流动资金,849,0,0,1,2,0.07,2,0,0
L000084,25,未婚,本科,22,20412,,,,华北,,,,,,154.04,12,6.07,保证,经营周转,652,0,0,0,4,0.15,8,2,10
L000085,34,未婚,高中及以下,5,13689,,,,西北,,,,,,97.21,6,4.70,信用,消费,872,0,0,0,0,0.19,1,0,0
L000086,32,已婚,本科,130,14140,,,,华南,,,,,,293.54,60,17.35,抵押,流动资金,511,4,1,4,13,0.49,14,2,90
L000087,35,未婚,本科,48,13539,,,,华东,,,,,,55.69,48,6.21,保证,流动资金,839,0,0,0,1,0.19,2,0,0
L000088,43,未婚,大专,10,50883,,,,西北,,,,,,72.01,30,5.46,保证,流动资金,885,0,0,1,0,0.06,1,0,0
L000089,62,已婚,大专,45,28574,,,,华北,,,,,,231.98,3,7.12,保证,流动资金,610,2,0,1,3,0.17,3,3,3
L000090,57,离异,硕士,76,49181,11.7,制造业,小型,华东,2.49,0.22,15.39,15.53,16.23,246.15,6,6.38,保证,经营周转,853,0,0,1,0,0.09,3,0,0
L000091,49,离异,本科,86,31087,6.4,批发零售,大型,西北,3.44,0.30,19.81,17.28,17.79,560.61,30,4.96,信用,设备购置,801,0,0,1,6,0.18,3,1,0
L000092,26,离异,本科,55,37458,,,,华北,,,,,,130.33,6,6.36,信用,消费,840,0,0,1,5,0.08,2,2,0
L000093,56,未婚,本科,89,55857,,,,华东,,,,,,126.41,30,7.37,抵押,流动资金,836,0,0,1,4,0.06,2,2,0
L000094,59,未婚,高中及以下,83,79834,9.2,金融业,小型,华北,3.16,0.46,13.92,13.58,21.33,1090.12,12,5.25,保证,原材料采购,891,0,0,0,3,0.11,3,2,0
L000095,33,未婚,高中及以下,10,65438,,,,华中,,,,,,45.41,30,3.62,保证,装修,705,0,0,0,5,0.17,1,2,0
L000096,42,已婚,高中及以下,84,56290,29.0,批发零售,小型,华北,2.29,0.24,13.98,16.45,10.93,1379.82,60,5.86,保证,原材料采购,754,0,0,0,4,0.07,1,1,0
L000097,33,已婚,大专,160,20472,9.0,制造业,中型,华东,2.74,0.50,24.18,17.12,11.32,829.49,30,5.14,保证,应收账款融资,877,0,0,1,3,0.14,3,1,0
L000098,40,已婚,大专,3,61461,16.7,制造业,小型,西南,3.05,0.49,14.24,25.57,8.71,1466.06,30,3.91,信用,设备购置,707,0,0,0,2,0.05,1,2,0
L000099,61,未婚,高中及以下,81,5483,10.8,批发零售,小型,华东,0.46,1.31,-35.53,-58.61,-4.26,1481.13,12,15.90,信用,技术改造,439,4,2,3,17,0.65,26,16,216
L000100,47,已婚,大专,86,7933,13.8,住宿餐饮,中型,华南,0.60,0.83,-9.44,2.77,-4.46,952.74,12,16.95,信用,流动资金,610,2,0,2,16,0.43,7,12,60
L000101,42,离异,高中及以下,2,17133,,,,华南,,,,,,209.53,3,9.76,信用,消费,708,0,1,1,8,0.36,8,2,28
L000102,63,已婚,高中及以下,29,55844,2.0,住宿餐饮,中型,华中,3.01,0.35,9.55,7.38,11.63,248.08,36,6.22,抵押,应收账款融资,809,0,0,0,5,0.10,2,0,0
L000103,42,已婚,高中及以下,0,70963,,,,华中,,,,,,138.66,3,5.94,抵押,经营周转,877,0,0,0,1,0.11,0,0,0
L000104,59,未婚,大专,121,15734,7.8,住宿餐饮,小型,西南,1.34,0.69,3.42,13.53,0.27,854.72,36,9.11,保证,应收账款融资,652,2,1,1,3,0.37,3,0,21
L000105,22,丧偶,本科,127,48923,,,,华南,,,,,,139.76,12,3.57,抵押,经营周转,761,0,0,0,1,0.12,0,2,0
L000106,47,已婚,大专,133,13664,,,,华南,,,,,,103.32,18,17.79,抵押,经营周转,550,5,1,6,16,0.50,10,8,71
L000107,29,已婚,大专,30,23516,,,,华东,,,,,,216.75,18,8.98,抵押,经营周转,682,0,0,3,5,0.16,2,3,5
L000108,58,未婚,大专,136,17769,,,,华东,,,,,,259.92,6,7.53,抵押,消费,693,0,0,2,8,0.22,2,2,17
L000109,24,未婚,本科,56,31169,,,,华南,,,,,,146.85,3,5.79,抵押,消费,703,0,0,1,2,0.11,1,0,0
L000110,57,已婚,大专,7,8311,,,,西南,,,,,,225.78,9,14.73,保证,装修,551,1,1,3,17,0.64,9,3,65
L000111,22,未婚,大专,56,10129,12.9,教育,大型,西北,1.04,0.54,0.53,-4.21,8.46,442.40,48,11.85,抵押,流动资金,600,1,0,1,10,0.24,1,2,21
L000112,47,未婚,本科,17,8747,2.7,制造业,中型,华南,0.84,0.70,-11.71,-13.69,-3.90,559.13,36,13.62,保证,流动资金,572,1,1,6,7,0.39,8,7,82
L000113,47,未婚,本科,50,5777,,,,华南,,,,,,143.88,18,6.57,抵押,装修,689,2,0,1,7,0.19,4,2,2
L000114,59,未婚,本科,212,4737,,,,西北,,,,,,71.36,18,10.74,信用,经营周转,516,2,1,3,15,0.55,14,3,60
L000115,44,已婚,高中及以下,40,10494,,,,华中,,,,,,56.70,12,7.03,保证,消费,810,0,0,1,3,0.05,3,0,0
L000116,56,未婚,高中及以下,161,48726,8.5,制造业,小型,华南,1.56,0.48,12.78,25.22,16.02,779.12,18,7.40,抵押,应收账款融资,834,0,0,0,3,0.17,2,1,0
L000117,33,已婚,大专,86,73806,,,,华东,,,,,,143.11,60,4.07,信用,流动资金,888,0,0,0,4,0.18,3,1,0
L000118,61,已婚,高中及以下,0,59619,25.4,批发零售,小型,东北,2.67,0.52,21.16,26.16,22.63,1925.06,30,5.84,抵押,原材料采购,714,0,0,0,0,0.13,0,1,0
L000119,64,未婚,高中及以下,33,17169,,,,西南,,,,,,190.27,48,6.90,信用,消费,863,1,0,0,5,0.20,2,0,0
L000120,44,丧偶,高中及以下,131,71743,,,,华东,,,,,,144.70,24,5.29,抵押,装修,856,0,0,0,3,0.07,0,0,0
L000121,53,离异,大专,0,64788,,,,华北,,,,,,154.07,12,3.79,信用,经营周转,884,0,0,1,3,0.16,1,1,0
L000122,60,丧偶,本科,126,58724,19.8,住宿餐饮,小型,华北,1.61,0.32,24.56,15.23,17.42,1858.59,24,4.69,抵押,技术改造,787,0,0,1,1,0.16,0,1,0
L000123,52,已婚,高中及以下,79,4851,9.6,批发零售,小型,东北,0.88,0.68,-4.12,-23.53,3.28,400.93,24,13.52,抵押,原材料采购,546,1,1,1,9,0.63,14,11,40
L000124,55,已婚,大专,96,26672,,,,华北,,,,,,266.27,12,8.37,信用,消费,610,2,0,3,11,0.21,1,3,29
L000125,34,已婚,大专,113,79803,,,,华中,,,,,,168.48,3,3.85,保证,经营周转,858,0,0,1,1,0.19,1,0,0
L000126,59,未婚,硕士,56,15214,,,,华东,,,,,,158.11,36,7.02,信用,经营周转,703,0,0,1,0,0.11,1,2,0
L000127,47,离异,高中及以下,66,74300,,,,东北,,,,,,13.84,48,4.74,信用,消费,709,0,0,1,1,0.14,3,0,2
L000128,50,已婚,本科,142,61348,,,,西南,,,,,,174.77,60,6.67,抵押,流动资金,813,0,0,1,2,0.16,0,0,0
L000129,25,离异,本科,46,11834,,,,华中,,,,,,50.30,9,13.91,保证,流动资金,503,2,0,2,18,0.32,4,9,53
L000130,58,未婚,高中及以下,152,23937,,,,华东,,,,,,49.28,36,3.58,信用,消费,766,0,0,0,2,0.05,0,0,0
L000131,46,离异,大专,68,45485,17.7,制造业,大型,华中,3.43,0.49,17.54,19.84,12.81,1400.38,24,7.45,保证,原材料采购,702,0,0,1,5,0.20,2,1,0
L000132,42,未婚,本科,101,21385,,,,西北,,,,,,88.94,30,10.42,保证,装修,638,0,0,1,2,0.35,7,5,23
L000133,57,已婚,高中及以下,86,66200,,,,西南,,,,,,44.78,24,6.12,抵押,装修,900,0,0,1,4,0.10,1,2,0
L000134,62,未婚,本科,87,13127,,,,东北,,,,,,105.09,48,5.62,保证,装修,784,0,0,1,3,0.18,3,0,0
L000135,53,已婚,硕士,53,40547,23.3,信息技术,小型,华东,3.07,0.47,10.20,15.84,15.30,915.15,12,3.65,抵押,原材料采购,845,0,0,1,1,0.10,1,0,3
L000136,30,已婚,大专,75,12652,,,,华东,,,,,,28.03,48,10.37,保证,经营周转,602,2,0,1,5,0.32,6,2,22
L000137,35,未婚,大专,83,10806,26.4,批发零售,小型,华东,0.32,1.50,-16.90,-27.71,-29.41,1096.67,30,15.73,抵押,应收账款融资,475,8,1,4,22,0.51,15,9,179
L000138,28,未婚,大专,101,12067,15.2,住宿餐饮,中型,西南,1.49,0.77,4.30,0.24,1.60,570.73,60,11.60,抵押,流动资金,653,2,0,2,11,0.30,3,3,0
L000139,28,离异,大专,0,27017,24.5,科学研究,中型,华东,2.22,0.44,15.24,7.90,22.47,1791.55,6,6.15,抵押,原材料采购,846,0,0,0,0,0.17,0,2,0
L000140,39,离异,本科,96,8738,26.6,制造业,小型,华南,0.66,1.49,-7.78,-71.70,-2.66,827.48,30,16.54,保证,原材料采购,537,4,2,7,15,0.58,20,19,178
L000141,26,已婚,高中及以下,38,16164,,,,华北,,,,,,176.03,60,16.99,保证,消费,614,2,1,4,6,0.66,11,2,77
L000142,63,离异,大专,0,41788,5.4,交通运输,小型,华北,2.16,0.30,16.62,18.76,14.44,1652.50,12,6.71,保证,技术改造,873,0,0,0,6,0.17,0,0,0
L000143,60,离异,大专,109,55130,10.6,房地产,中型,华北,3.19,0.32,21.05,20.00,20.18,790.26,12,6.54,抵押,原材料采购,867,0,0,1,3,0.06,0,0,0
L000144,48,已婚,大专,19,9688,,,,西北,,,,,,126.98,18,10.30,抵押,流动资金,670,2,0,0,2,0.37,8,1,0
L000145,49,离异,大专,0,9430,,,,华北,,,,,,223.19,12,9.95,保证,经营周转,615,1,1,1,9,0.15,1,4,13
L000146,30,已婚,大专,54,71823,,,,华北,,,,,,170.18,24,6.35,信用,装修,877,0,0,1,3,0.19,2,1,0
L000147,29,未婚,大专,0,22753,26.9,信息技术,中型,华中,1.22,0.45,1.28,-0.48,0.53,103.77,6,11.90,保证,设备购置,644,2,0,1,10,0.29,6,5,23
L000148,63,未婚,高中及以下,0,24607,9.0,租赁商服,大型,西南,1.20,0.77,11.71,-2.18,5.52,62.32,12,10.98,信用,应收账款融资,669,0,0,3,3,0.30,4,5,12
L000149,33,未婚,高中及以下,99,11605,,,,华东,,,,,,256.11,12,10.26,抵押,装修,677,0,0,2,9,0.19,2,1,20
L000150,42,未婚,硕士,70,45483,,,,西南,,,,,,40.28,30,3.87,抵押,装修,857,0,0,1,3,0.17,2,0,0
L000151,64,已婚,高中及以下,0,25555,26.6,批发零售,中型,华东,1.73,0.29,20.31,5.62,16.79,1563.94,36,5.28,抵押,应收账款融资,892,0,0,1,4,0.17,0,0,0
L000152,49,离异,高中及以下,0,67669,,,,东北,,,,,,150.86,12,6.49,抵押,流动资金,742,0,0,0,1,0.15,1,2,0
L000153,46,已婚,大专,39,16518,21.7,制造业,中型,华东,1.59,0.50,14.08,17.57,12.93,1403.17,24,6.56,保证,技术改造,745,0,0,0,4,0.17,2,1,0
L000154,31,已婚,本科,105,77506,19.6,教育,小型,东北,3.25,0.25,8.71,19.32,14.70,1140.30,6,6.49,信用,原材料采购,756,0,0,1,6,0.17,2,2,0
L000155,33,未婚,大专,138,19836,,,,华北,,,,,,198.73,3,12.01,抵押,流动资金,518,2,0,2,14,0.63,7,3,113
L000156,61,未婚,本科,87,18972,,,,华北,,,,,,163.46,36,3.52,抵押,装修,725,0,0,0,1,0.10,3,1,0
L000157,57,已婚,大专,95,25661,6.3,交通运输,中型,东北,1.42,0.74,10.20,5.79,8.13,599.96,18,11.44,保证,经营周转,646,0,0,3,9,0.26,5,3,18
L000158,45,未婚,本科,79,69054,,,,西南,,,,,,126.67,6,5.28,抵押,装修,793,0,0,1,1,0.12,0,1,0
L000159,64,已婚,本科,23,40734,29.4,批发零售,中型,华东,2.54,0.49,22.19,11.58,17.25,430.31,24,5.85,信用,流动资金,756,0,0,0,0,0.09,1,0,0
L000160,30,已婚,高中及以下,103,45046,,,,华南,,,,,,38.55,3,6.14,保证,经营周转,832,0,0,1,3,0.17,0,2,0
L000161,59,已婚,大专,123,12025,5.8,教育,小型,华南,2.63,0.21,20.23,21.54,12.82,262.92,30,6.97,抵押,技术改造,753,0,0,1,0,0.09,1,2,0
L000162,59,已婚,大专,75,8305,,,,华东,,,,,,163.97,60,8.52,抵押,消费,623,2,0,1,12,0.24,8,4,29
L000163,63,已婚,大专,114,15723,14.7,交通运输,小型,西北,1.47,0.75,10.05,4.40,4.25,291.79,12,7.70,信用,技术改造,700,2,0,0,9,0.31,1,5,1
L000164,45,已婚,大专,5,19634,,,,华南,,,,,,167.79,36,7.65,保证,装修,673,2,0,0,8,0.31,6,3,26
L000165,30,离异,本科,59,58350,6.8,建筑业,小型,华东,2.60,0.44,20.02,9.02,24.40,110.05,6,5.39,保证,流动资金,843,0,0,1,2,0.14,3,2,0
L000166,60,已婚,本科,5,20619,0.8,房地产,大型,华北,2.54,0.27,21.33,17.76,19.87,1268.86,24,4.46,抵押,设备购置,709,0,0,1,4,0.15,2,2,0
L000167,57,已婚,本科,99,77356,18.4,制造业,大型,华南,2.65,0.29,14.92,7.66,9.23,659.08,60,7.33,信用,经营周转,871,0,0,0,4,0.05,0,0,0
L000168,23,已婚,高中及以下,36,35552,7.0,租赁商服,中型,西南,2.32,0.32,17.11,22.52,12.48,645.85,24,3.80,信用,技术改造,823,0,0,1,6,0.12,3,2,0
